time,current
2026-04-24 18:04:53,93
2026-04-24 18:12:53,93
2026-04-24 19:37:40,61
2026-04-24 20:42:56,65
2026-04-24 22:45:59,6
2026-04-25 00:05:49,0
2026-04-25 01:16:27,0
2026-04-25 02:03:43,0
2026-04-25 03:15:33,0
2026-04-25 04:03:58,0
2026-04-25 05:09:28,0
2026-04-25 06:05:29,0
2026-04-25 07:01:51,0
2026-04-25 07:58:24,0
2026-04-25 11:25:59,54
2026-04-25 13:31:05,37
2026-04-25 14:55:22,38
2026-04-25 16:05:39,45
2026-04-25 17:13:30,67
2026-04-25 18:09:12,51
2026-04-25 19:07:20,32
2026-04-25 19:57:44,32
2026-04-25 21:22:25,32
2026-04-25 22:26:29,10
2026-04-25 23:25:29,10
2026-04-26 00:22:13,0
2026-04-26 01:23:08,0
2026-04-26 02:25:44,0
2026-04-26 03:31:53,0
2026-04-26 04:08:05,0
2026-04-26 04:59:22,0
2026-04-26 05:48:34,0
2026-04-26 06:39:15,0
